"Station.ID","GTFS.Latitude","GTFS.Longitude","Georeference","Complex.ID","Borough"
205,40.592374,-73.788522,"POINT (-73.788522 40.592374)",205,"Q"
435,40.81841,-73.926718,"POINT (-73.926718 40.81841)",603,"Bx"
27,40.683666,-73.97881,"POINT (-73.97881 40.683666)",617,"Bk"
422,40.871356,-73.867164,"POINT (-73.867164 40.871356)",422,"Bx"
41,40.67705,-73.972367,"POINT (-73.972367 40.67705)",41,"Bk"
54,40.586896,-73.954155,"POINT (-73.954155 40.586896)",54,"Bk"
59,40.646292,-73.994324,"POINT (-73.994324 40.646292)",59,"Bk"
167,40.732338,-74.000495,"POINT (-74.000495 40.732338)",167,"M"
280,40.702566,-73.816859,"POINT (-73.816859 40.702566)",280,"Q"
282,40.744065,-73.949724,"POINT (-73.949724 40.744065)",282,"Q"
150,40.830518,-73.941514,"POINT (-73.941514 40.830518)",150,"M"
388,40.835537,-73.9214,"POINT (-73.9214 40.835537)",388,"Bx"
293,40.889248,-73.898583,"POINT (-73.898583 40.889248)",293,"Bx"
162,40.762456,-73.985984,"POINT (-73.985984 40.762456)",162,"M"
403,40.746081,-73.982076,"POINT (-73.982076 40.746081)",403,"M"
312,40.783934,-73.979917,"POINT (-73.979917 40.783934)",312,"M"
180,40.679921,-73.940858,"POINT (-73.940858 40.679921)",180,"Bk"
420,40.883895,-73.862633,"POINT (-73.862633 40.883895)",420,"Bx"
265,40.737015,-73.877223,"POINT (-73.877223 40.737015)",265,"Q"
73,40.624842,-73.996353,"POINT (-73.996353 40.624842)",615,"Bk"
151,40.824783,-73.944216,"POINT (-73.944216 40.824783)",151,"M"
4,40.76182,-73.925508,"POINT (-73.925508 40.76182)",4,"Q"
176,40.686113,-73.973946,"POINT (-73.973946 40.686113)",176,"Bk"
52,40.5993,-73.955929,"POINT (-73.955929 40.5993)",52,"Bk"
191,40.679843,-73.85147,"POINT (-73.85147 40.679843)",191,"Q"
31,40.660397,-73.998091,"POINT (-73.998091 40.660397)",31,"Bk"
270,40.756312,-73.913333,"POINT (-73.913333 40.756312)",270,"Q"
292,40.687119,-73.975375,"POINT (-73.975375 40.687119)",292,"Bk"
410,40.718803,-74.000193,"POINT (-74.000193 40.718803)",623,"M"
415,40.692404,-73.990151,"POINT (-73.990151 40.692404)",620,"Bk"
307,40.807722,-73.96411,"POINT (-73.96411 40.807722)",307,"M"
366,40.833226,-73.860816,"POINT (-73.860816 40.833226)",366,"Bx"
405,40.739864,-73.986599,"POINT (-73.986599 40.739864)",405,"M"
204,40.590927,-73.796924,"POINT (-73.796924 40.590927)",204,"Q"
383,40.858407,-73.903879,"POINT (-73.903879 40.858407)",383,"Bx"
275,40.757552,-73.969055,"POINT (-73.969055 40.757552)",612,"M"
42,40.661614,-73.962246,"POINT (-73.962246 40.661614)",42,"Bk"
319,40.747215,-73.993365,"POINT (-73.993365 40.747215)",319,"M"
20,40.713282,-74.006978,"POINT (-74.006978 40.713282)",20,"M"
260,40.718331,-73.837324,"POINT (-73.837324 40.718331)",260,"Q"
74,40.620671,-73.990414,"POINT (-73.990414 40.620671)",74,"Bk"
11,40.754672,-73.986754,"POINT (-73.986754 40.754672)",611,"M"
302,40.840556,-73.940133,"POINT (-73.940133 40.840556)",605,"M"
437,40.820421,-73.936245,"POINT (-73.936245 40.820421)",437,"M"
146,40.851695,-73.937969,"POINT (-73.937969 40.851695)",146,"M"
297,40.869444,-73.915279,"POINT (-73.915279 40.869444)",297,"M"
95,40.68963,-73.92227,"POINT (-73.92227 40.68963)",95,"Bk"
459,40.743781,-73.924016,"POINT (-73.924016 40.743781)",459,"Q"
236,40.686145,-73.990862,"POINT (-73.990862 40.686145)",236,"Bk"
181,40.679364,-73.930729,"POINT (-73.930729 40.679364)",181,"Bk"
477,40.768799,-73.958424,"POINT (-73.958424 40.768799)",477,"M"
334,40.697466,-73.993086,"POINT (-73.993086 40.697466)",334,"Bk"
160,40.775594,-73.97641,"POINT (-73.97641 40.775594)",160,"M"
187,40.67413,-73.88075,"POINT (-73.88075 40.67413)",187,"Bk"
35,40.641362,-74.017881,"POINT (-74.017881 40.641362)",35,"Bk"
172,40.710197,-74.007691,"POINT (-74.007691 40.710197)",628,"M"
361,40.84681,-73.832569,"POINT (-73.832569 40.84681)",361,"Bx"
219,40.827905,-73.925651,"POINT (-73.925651 40.827905)",604,"Bx"
398,40.77362,-73.959874,"POINT (-73.959874 40.77362)",398,"M"
48,40.62927,-73.961639,"POINT (-73.961639 40.62927)",48,"Bk"
329,40.707513,-74.013783,"POINT (-74.013783 40.707513)",329,"M"
6,40.752882,-73.932755,"POINT (-73.932755 40.752882)",6,"Q"
230,40.725297,-73.996204,"POINT (-73.996204 40.725297)",619,"M"
512,40.5564,-74.136907,"POINT (-74.136907 40.5564)",512,"SI"
80,40.700492,-73.828294,"POINT (-73.828294 40.700492)",80,"Q"
324,40.728251,-74.005367,"POINT (-74.005367 40.728251)",324,"M"
255,40.71047,-73.793604,"POINT (-73.793604 40.71047)",255,"Q"
245,40.629755,-73.976971,"POINT (-73.976971 40.629755)",245,"Bk"
442,40.8883,-73.830834,"POINT (-73.830834 40.8883)",442,"Bx"
287,40.700377,-73.950234,"POINT (-73.950234 40.700377)",287,"Bk"
63,40.626472,-73.996895,"POINT (-73.996895 40.626472)",615,"Bk"
346,40.664717,-73.92261,"POINT (-73.92261 40.664717)",346,"Bk"
427,40.840295,-73.880049,"POINT (-73.880049 40.840295)",427,"Bx"
395,40.7906,-73.947478,"POINT (-73.947478 40.7906)",395,"M"
208,40.600066,-73.761353,"POINT (-73.761353 40.600066)",208,"Q"
106,40.710374,-74.007582,"POINT (-74.007582 40.710374)",628,"M"
16,40.730328,-73.992629,"POINT (-73.992629 40.730328)",16,"M"
123,40.711926,-73.94067,"POINT (-73.94067 40.711926)",123,"Bk"
468,40.755983,-73.986229,"POINT (-73.986229 40.755983)",611,"M"
517,40.525507,-74.200064,"POINT (-74.200064 40.525507)",517,"SI"
351,40.665449,-73.889395,"POINT (-73.889395 40.665449)",351,"Bk"
447,40.7596,-73.83003,"POINT (-73.83003 40.7596)",447,"Q"
142,40.670343,-73.959245,"POINT (-73.959245 40.670343)",626,"Bk"
213,40.861296,-73.897749,"POINT (-73.897749 40.861296)",213,"Bx"
339,40.680829,-73.975098,"POINT (-73.975098 40.680829)",339,"Bk"
112,40.69943,-73.912385,"POINT (-73.912385 40.69943)",630,"Bk"
314,40.77344,-73.982209,"POINT (-73.982209 40.77344)",314,"M"
240,40.666271,-73.980305,"POINT (-73.980305 40.666271)",240,"Bk"
375,40.805368,-73.914042,"POINT (-73.914042 40.805368)",375,"Bx"
156,40.796092,-73.961454,"POINT (-73.961454 40.796092)",156,"M"
198,40.660476,-73.830301,"POINT (-73.830301 40.660476)",198,"Q"
356,40.650843,-73.949575,"POINT (-73.949575 40.650843)",356,"Bk"
454,40.746848,-73.891394,"POINT (-73.891394 40.746848)",616,"Q"
91,40.676992,-73.898654,"POINT (-73.898654 40.676992)",91,"Bk"
131,40.682829,-73.905249,"POINT (-73.905249 40.682829)",131,"Bk"
28,40.677316,-73.98311,"POINT (-73.98311 40.677316)",28,"Bk"
402,40.751776,-73.976848,"POINT (-73.976848 40.751776)",610,"M"
84,40.692435,-73.86001,"POINT (-73.86001 40.692435)",84,"Q"
223,40.764629,-73.966113,"POINT (-73.966113 40.764629)",223,"M"
23,40.703087,-74.012994,"POINT (-74.012994 40.703087)",635,"M"
430,40.824073,-73.893064,"POINT (-73.893064 40.824073)",430,"Bx"
136,40.658733,-73.899232,"POINT (-73.899232 40.658733)",136,"Bk"
423,40.865462,-73.867352,"POINT (-73.867352 40.865462)",423,"Bx"
226,40.754222,-73.984569,"POINT (-73.984569 40.754222)",609,"M"
251,40.596063,-73.973357,"POINT (-73.973357 40.596063)",251,"Bk"
391,40.813224,-73.929849,"POINT (-73.929849 40.813224)",391,"Bx"
67,40.604556,-73.998168,"POINT (-73.998168 40.604556)",67,"Bk"
60,40.640914,-73.994304,"POINT (-73.994304 40.640914)",60,"Bk"
241,40.660365,-73.979493,"POINT (-73.979493 40.660365)",241,"Bk"
328,40.711835,-74.012188,"POINT (-74.012188 40.711835)",328,"M"
167,40.732338,-74.000495,"POINT (-74.000495 40.732338)",167,"M"
283,40.731352,-73.954449,"POINT (-73.954449 40.731352)",283,"Bk"
102,40.718315,-73.987437,"POINT (-73.987437 40.718315)",625,"M"
119,40.730953,-73.981628,"POINT (-73.981628 40.730953)",119,"M"
55,40.577621,-73.961376,"POINT (-73.961376 40.577621)",55,"Bk"
163,40.757308,-73.989735,"POINT (-73.989735 40.757308)",611,"M"
3,40.766779,-73.921479,"POINT (-73.921479 40.766779)",3,"Q"
379,40.87975,-73.884655,"POINT (-73.884655 40.87975)",379,"Bx"
209,40.603995,-73.755405,"POINT (-73.755405 40.603995)",209,"Q"
116,40.737335,-73.996786,"POINT (-73.996786 40.737335)",601,"M"
360,40.852462,-73.828121,"POINT (-73.828121 40.852462)",360,"Bx"
465,40.751431,-73.976041,"POINT (-73.976041 40.751431)",610,"M"
371,40.820948,-73.890549,"POINT (-73.890549 40.820948)",371,"Bx"
505,40.603117,-74.084087,"POINT (-74.084087 40.603117)",505,"SI"
87,40.683194,-73.873785,"POINT (-73.873785 40.683194)",87,"Bk"
194,40.684331,-73.832163,"POINT (-73.832163 40.684331)",194,"Q"
147,40.847391,-73.939704,"POINT (-73.939704 40.847391)",147,"M"
296,40.874561,-73.909831,"POINT (-73.909831 40.874561)",296,"M"
311,40.788644,-73.976218,"POINT (-73.976218 40.788644)",311,"M"
419,40.888022,-73.860341,"POINT (-73.860341 40.888022)",419,"Bx"
266,40.742454,-73.882017,"POINT (-73.882017 40.742454)",266,"Q"
406,40.734673,-73.989951,"POINT (-73.989951 40.734673)",602,"M"
151,40.824783,-73.944216,"POINT (-73.944216 40.824783)",151,"M"
43,40.655292,-73.961495,"POINT (-73.961495 40.655292)",43,"Bk"
343,40.669847,-73.950466,"POINT (-73.950466 40.669847)",343,"Bk"
451,40.749145,-73.869527,"POINT (-73.869527 40.749145)",451,"Q"
38,40.622687,-74.028398,"POINT (-74.028398 40.622687)",38,"Bk"
387,40.840075,-73.917791,"POINT (-73.917791 40.840075)",387,"Bx"
434,40.816109,-73.917757,"POINT (-73.917757 40.816109)",434,"Bx"
298,40.864621,-73.918822,"POINT (-73.918822 40.864621)",298,"M"
315,40.768247,-73.981929,"POINT (-73.981929 40.768247)",614,"M"
199,40.608382,-73.815925,"POINT (-73.815925 40.608382)",199,"Q"
177,40.683263,-73.965838,"POINT (-73.965838 40.683263)",177,"Bk"
182,40.678822,-73.920786,"POINT (-73.920786 40.678822)",182,"Bk"
455,40.746325,-73.896403,"POINT (-73.896403 40.746325)",455,"Q"
70,40.588841,-73.983765,"POINT (-73.983765 40.588841)",70,"Bk"
264,40.733106,-73.869229,"POINT (-73.869229 40.733106)",264,"Q"
522,40.512764,-74.251961,"POINT (-74.251961 40.512764)",522,"SI"
92,40.679498,-73.904512,"POINT (-73.904512 40.679498)",621,"Bk"
128,40.699814,-73.911586,"POINT (-73.911586 40.699814)",630,"Bk"
461,40.750582,-73.940202,"POINT (-73.940202 40.750582)",461,"Q"
99,40.703869,-73.947408,"POINT (-73.947408 40.703869)",99,"Bk"
509,40.578965,-74.109704,"POINT (-74.109704 40.578965)",509,"SI"
279,40.700486,-73.807969,"POINT (-73.807969 40.700486)",279,"Q"
460,40.744587,-73.930997,"POINT (-73.930997 40.744587)",460,"Q"
155,40.800603,-73.958161,"POINT (-73.958161 40.800603)",155,"M"
259,40.714441,-73.831008,"POINT (-73.831008 40.714441)",259,"Q"
320,40.744081,-73.995657,"POINT (-73.995657 40.744081)",320,"M"
175,40.688484,-73.985001,"POINT (-73.985001 40.688484)",175,"Bk"
15,40.735736,-73.990568,"POINT (-73.990568 40.735736)",602,"M"
438,40.814229,-73.94077,"POINT (-73.94077 40.814229)",438,"M"
75,40.61741,-73.985026,"POINT (-73.985026 40.61741)",75,"Bk"
145,40.859022,-73.93418,"POINT (-73.93418 40.859022)",145,"M"
291,40.688089,-73.966839,"POINT (-73.966839 40.688089)",291,"Bk"
374,40.808719,-73.907657,"POINT (-73.907657 40.808719)",374,"Bx"
94,40.68637,-73.916559,"POINT (-73.916559 40.68637)",94,"Bk"
231,40.718267,-73.993753,"POINT (-73.993753 40.718267)",231,"M"
79,40.592721,-73.97823,"POINT (-73.97823 40.592721)",79,"Bk"
347,40.661453,-73.916327,"POINT (-73.916327 40.661453)",347,"Bk"
513,40.551231,-74.151399,"POINT (-74.151399 40.551231)",513,"SI"
335,40.693219,-73.989998,"POINT (-73.989998 40.693219)",620,"Bk"
111,40.702762,-73.90774,"POINT (-73.90774 40.702762)",111,"Q"
203,40.580903,-73.835592,"POINT (-73.835592 40.580903)",203,"Q"
124,40.707739,-73.93985,"POINT (-73.93985 40.707739)",124,"Bk"
218,40.833771,-73.91844,"POINT (-73.91844 40.833771)",218,"Bx"
352,40.666235,-73.884079,"POINT (-73.884079 40.666235)",352,"Bk"
518,40.52241,-74.217847,"POINT (-74.217847 40.52241)",518,"SI"
443,40.878663,-73.838591,"POINT (-73.838591 40.878663)",443,"Bx"
288,40.694568,-73.949046,"POINT (-73.949046 40.694568)",288,"Bk"
428,40.837288,-73.887734,"POINT (-73.887734 40.837288)",428,"Bx"
274,40.747846,-73.946,"POINT (-73.946 40.747846)",606,"Q"
382,40.862803,-73.901034,"POINT (-73.901034 40.862803)",382,"Bx"
159,40.781433,-73.972143,"POINT (-73.972143 40.781433)",159,"M"
501,40.643748,-74.073643,"POINT (-74.073643 40.643748)",501,"SI"
19,40.718383,-74.00046,"POINT (-74.00046 40.718383)",623,"M"
186,40.67271,-73.890358,"POINT (-73.890358 40.67271)",186,"Bk"
303,40.834041,-73.94489,"POINT (-73.94489 40.834041)",303,"M"
362,40.843863,-73.836322,"POINT (-73.836322 40.843863)",362,"Bx"
30,40.665414,-73.992872,"POINT (-73.992872 40.665414)",30,"Bk"
171,40.712582,-74.009781,"POINT (-74.009781 40.712582)",624,"M"
141,40.674772,-73.957624,"POINT (-73.957624 40.674772)",141,"Bk"
47,40.635082,-73.962793,"POINT (-73.962793 40.635082)",47,"Bk"
271,40.756879,-73.92074,"POINT (-73.92074 40.756879)",271,"Q"
256,40.707564,-73.803326,"POINT (-73.803326 40.707564)",256,"Q"
323,40.733422,-74.002906,"POINT (-74.002906 40.733422)",323,"M"
414,40.704817,-74.014065,"POINT (-74.014065 40.704817)",414,"M"
367,40.831509,-73.867618,"POINT (-73.867618 40.831509)",367,"Bx"
306,40.815581,-73.958372,"POINT (-73.958372 40.815581)",306,"M"
7,40.76266,-73.967258,"POINT (-73.967258 40.76266)",613,"M"
235,40.701397,-73.986751,"POINT (-73.986751 40.701397)",235,"Bk"
246,40.625322,-73.976127,"POINT (-73.976127 40.625322)",246,"Bk"
62,40.631435,-73.995476,"POINT (-73.995476 40.631435)",62,"Bk"
207,40.595398,-73.768175,"POINT (-73.768175 40.595398)",207,"Q"
107,40.706476,-74.011056,"POINT (-74.011056 40.706476)",107,"M"
396,40.785672,-73.95107,"POINT (-73.95107 40.785672)",396,"M"
12,40.749567,-73.98795,"POINT (-73.98795 40.749567)",607,"M"
469,40.752769,-73.979189,"POINT (-73.979189 40.752769)",610,"M"
330,40.702068,-74.013664,"POINT (-74.013664 40.702068)",635,"M"
214,40.856093,-73.900741,"POINT (-73.900741 40.856093)",214,"Bx"
411,40.713065,-74.004131,"POINT (-74.004131 40.713065)",622,"M"
152,40.817894,-73.947649,"POINT (-73.947649 40.817894)",152,"M"
424,40.857192,-73.867615,"POINT (-73.867615 40.857192)",424,"Bx"
76,40.611815,-73.981848,"POINT (-73.981848 40.611815)",76,"Bk"
439,40.807754,-73.945495,"POINT (-73.945495 40.807754)",439,"M"
61,40.63626,-73.994791,"POINT (-73.994791 40.63626)",61,"Bk"
39,40.616622,-74.030876,"POINT (-74.030876 40.616622)",39,"Bk"
284,40.724635,-73.951277,"POINT (-73.951277 40.724635)",284,"Bk"
168,40.726227,-74.003739,"POINT (-74.003739 40.726227)",168,"M"
386,40.844434,-73.914685,"POINT (-73.914685 40.844434)",386,"Bx"
148,40.840719,-73.939561,"POINT (-73.939561 40.840719)",605,"M"
278,40.702147,-73.801109,"POINT (-73.801109 40.702147)",278,"Q"
299,40.860531,-73.925536,"POINT (-73.925536 40.860531)",299,"M"
34,40.645069,-74.014034,"POINT (-74.014034 40.645069)",34,"Bk"
190,40.679371,-73.858992,"POINT (-73.858992 40.679371)",190,"Q"
183,40.67834,-73.911946,"POINT (-73.911946 40.67834)",183,"Bk"
267,40.746644,-73.891338,"POINT (-73.891338 40.746644)",616,"Q"
51,40.60867,-73.957734,"POINT (-73.957734 40.60867)",51,"Bk"
397,40.779492,-73.955589,"POINT (-73.955589 40.779492)",397,"M"
2,40.770258,-73.917843,"POINT (-73.917843 40.770258)",2,"Q"
429,40.829993,-73.891865,"POINT (-73.891865 40.829993)",429,"Bx"
210,40.874811,-73.878855,"POINT (-73.878855 40.874811)",210,"Bx"
450,40.749865,-73.8627,"POINT (-73.8627 40.749865)",450,"Q"
355,40.656652,-73.9502,"POINT (-73.9502 40.656652)",355,"Bk"
239,40.670272,-73.989779,"POINT (-73.989779 40.670272)",608,"Bk"
242,40.650782,-73.975776,"POINT (-73.975776 40.650782)",242,"Bk"
252,40.58962,-73.97425,"POINT (-73.97425 40.58962)",252,"Bk"
418,40.893193,-73.857473,"POINT (-73.857473 40.893193)",418,"Bx"
127,40.703811,-73.918425,"POINT (-73.918425 40.703811)",127,"Bk"
137,40.650573,-73.899485,"POINT (-73.899485 40.650573)",137,"Bk"
464,40.742626,-73.953581,"POINT (-73.953581 40.742626)",464,"Q"
392,40.804138,-73.937594,"POINT (-73.937594 40.804138)",392,"M"
508,40.583591,-74.103338,"POINT (-74.103338 40.583591)",508,"SI"
327,40.715478,-74.009266,"POINT (-74.009266 40.715478)",327,"M"
195,40.685951,-73.825798,"POINT (-73.825798 40.685951)",195,"Q"
66,40.607954,-74.001736,"POINT (-74.001736 40.607954)",66,"Bk"
103,40.72028,-73.993915,"POINT (-73.993915 40.72028)",103,"M"
29,40.670847,-73.988302,"POINT (-73.988302 40.670847)",608,"Bk"
342,40.670682,-73.958131,"POINT (-73.958131 40.670682)",626,"Bk"
407,40.730054,-73.99107,"POINT (-73.99107 40.730054)",407,"M"
44,40.650527,-73.962982,"POINT (-73.962982 40.650527)",44,"Bk"
24,40.6941,-73.991777,"POINT (-73.991777 40.6941)",620,"Bk"
93,40.682893,-73.910456,"POINT (-73.910456 40.682893)",93,"Bk"
456,40.74563,-73.902984,"POINT (-73.902984 40.74563)",456,"Q"
56,40.576312,-73.968501,"POINT (-73.968501 40.576312)",56,"Bk"
88,40.68141,-73.880039,"POINT (-73.880039 40.68141)",88,"Bk"
132,40.678856,-73.90324,"POINT (-73.90324 40.678856)",621,"Bk"
295,40.878856,-73.904834,"POINT (-73.904834 40.878856)",295,"Bx"
263,40.729846,-73.861604,"POINT (-73.861604 40.729846)",263,"Q"
164,40.752287,-73.993391,"POINT (-73.993391 40.752287)",164,"M"
200,40.588034,-73.813641,"POINT (-73.813641 40.588034)",200,"Q"
316,40.761728,-73.983849,"POINT (-73.983849 40.761728)",316,"M"
310,40.793919,-73.972323,"POINT (-73.972323 40.793919)",310,"M"
178,40.68138,-73.956848,"POINT (-73.956848 40.68138)",627,"Bk"
401,40.757107,-73.97192,"POINT (-73.97192 40.757107)",612,"M"
71,40.635064,-74.011719,"POINT (-74.011719 40.635064)",71,"Bk"
519,40.519631,-74.229141,"POINT (-74.229141 40.519631)",519,"SI"
338,40.684359,-73.977666,"POINT (-73.977666 40.684359)",617,"Bk"
359,40.632836,-73.947642,"POINT (-73.947642 40.632836)",359,"Bk"
